,project_phase,User_uid,Cat,Fox,Marten,Raccoon,garden_type,garden_size,Local_tree_cover,fence_height,compost,pop_100,dist_water_100,imperv_100,noise_100,tree_cover_100,distance_border,inside,season,covid,dist_border,pop_100m
120,1,293,3,0,1,0,Wohngrundstueck,1100,20,120,Offen,37.4117012,1166.046021,44.55338669,49.70567703,55.85043716,2031.09878,1,Fall,No,2028.067025,40.48211143
121,1,294,0,0,0,5,Wohngrundstueck,450,0,140,Keiner,32.52308655,468.6919556,58.16674805,46.30320358,45.61665344,1329.096819,1,Fall,No,1323.361465,31.90369046
122,1,301,63,5,1,2,Wohngrundstueck,250,10,160,Offen,27.93058395,204.7275238,26.60632324,50.03987122,28.45668793,3185.723186,1,Fall,No,3142.384876,30.33334994
123,1,302,4,1,0,0,Wohngrundstueck,220,20,120,Geschlossen,71.08000946,821.5921631,45.38669968,54.11943436,50.49887466,1136.275921,1,Fall,No,1190.918451,71.0729343
124,1,303,2,2,0,4,Kleingarten,300,20,120,Offen,10.46273804,588.7481079,17.16285515,47.22407532,22.09145355,1811.321957,1,Fall,No,1805.144185,10.96090326
125,1,304,17,0,0,1,Wohngrundstueck,200,5,100,Offen,43.96788788,1065.704468,29.50213051,47.87574768,25.7181282,923.8007862,1,Fall,No,908.0885048,38.55861984
126,1,305,0,1,0,0,Wohngrundstueck,50,2,200,Offen,112.9818726,93.63600922,68.38276672,49.27539063,21.35672951,4210.92008,1,Fall,No,4164.087065,107.9220416
127,1,306,2,3,1,0,Kleingarten,300,15,110,Offen,24.58966255,362.4502258,26.62524605,54.43416214,46.74067307,4926.741469,1,Fall,No,4909.59143,23.56159958
128,1,307,4,3,0,0,Wohngrundstueck,676,10,0,Geschlossen,30.74139977,632.5272827,53.87158585,53.90647507,52.05167389,3499.201258,1,Fall,No,3418.087071,30.25674898
129,1,308,26,13,1,20,Wohngrundstueck,575,10,150,Keiner,51.66268158,794.6886597,63.92678452,48.61734009,40.56988144,4812.753395,1,Fall,No,4779.651484,49.24865907
130,1,309,3,0,1,0,Wohngrundstueck,300,5,125,Offen,33.8636322,396.7918396,56.95922089,51.09834671,42.01679993,2660.394259,1,Fall,No,2636.801236,31.06131996
131,1,310,40,5,4,1,Kleingarten,800,20,0,Offen,0.324048132,220.372467,1.346934438,53.60220718,1.656600356,4219.012587,1,Fall,No,4210.289003,0.224682959
132,1,316,6,1,3,4,Kleingarten,300,20,120,Offen,133.8282318,2247.372559,35.09222412,60.15876007,34.64875412,556.617717,1,Fall,No,570.061995,118.7031121
133,1,317,33,0,0,0,Wohngrundstueck,60,20,200,Geschlossen,152.6533661,180.8421173,83.42301941,51.83823776,15.80468082,8384.515176,1,Fall,No,8339.173822,156.5921581
134,1,319,2,10,1,1,Wohngrundstueck,500,5,100,Geschlossen,31.41184425,585.5187378,56.7530632,55.26918793,35.81139755,3603.781857,1,Fall,No,3596.944251,29.87425176
135,1,320,7,9,0,8,Kleingarten,700,80,120,Keiner,24.62800026,731.9577637,42.55913162,33.63319778,38.27271271,3507.736062,1,Fall,No,3535.525162,26.53582487
136,1,321,3,0,0,3,Wohngrundstueck,250,60,120,Keiner,29.92467117,1199.573608,39.65110016,53.40286636,0,3781.826531,1,Fall,No,3763.753153,26.71547788
137,1,322,4,7,0,0,Kleingarten,375,25,125,Offen,16.57756615,476.3551025,56.32449722,48.79527664,47.50183487,1283.25952,1,Fall,No,1284.78897,19.54467159
138,1,324,4,3,0,4,Wohngrundstueck,860,20,150,Geschlossen,17.6132164,348.3036499,40.13880157,52.75178528,12.76663685,3102.500031,1,Fall,No,3119.973159,16.21790217
139,1,327,51,0,0,0,Wohngrundstueck,500,20,140,Offen,37.16040421,1402.658325,78.57009125,43.33099747,21.46603203,1385.449155,1,Fall,No,1365.346633,38.72420277
140,1,329,7,4,1,0,Wohngrundstueck,300,10,60,Geschlossen,43.29423141,633.996582,64.46723938,46.79361343,34.40180206,3996.784636,1,Fall,No,4035.687316,43.65530388
141,1,331,1,0,0,1,Wohngrundstueck,600,10,150,Keiner,23.71835709,177.4317169,43.40840912,53.02335739,55.23855972,3419.086368,1,Fall,No,3409.924605,24.9347786
142,1,333,7,16,0,3,Kleingarten,4000,70,0,Offen,16.87146187,114.303093,44.9536438,62.86760712,24.49971771,5385.119022,1,Fall,No,5387.280249,17.60758266
143,1,334,31,1,7,9,Wohngrundstueck,400,30,150,Geschlossen,88.12952423,1552.782837,62.04759216,50.81285095,29.24396324,5240.805232,1,Fall,No,5230.79197,73.25548512
144,1,336,27,0,0,8,Wohngrundstueck,750,20,80,Geschlossen,81.06739044,1513.280273,56.3182869,56.60682678,38.09910202,4283.19237,1,Fall,No,4298.022241,81.2917501
145,1,338,0,26,0,0,Wohngrundstueck,2000,20,100,Keiner,27.51280594,394.4617004,69.09399414,52.66173553,31.58402061,3275.307684,1,Fall,No,3279.550972,27.81045201
146,1,342,22,0,4,1,Kleingarten,500,10,100,Geschlossen,13.84189129,470.0648804,49.88895416,51.57192993,50.50818253,1605.824138,1,Fall,No,1562.647737,23.97309824
147,1,343,1,1,0,1,Kleingarten,370,15,85,Geschlossen,49.891922,949.9680786,66.71465302,71.03677368,33.18389511,6108.654048,1,Fall,No,6049.51139,61.67965269
148,1,344,10,2,1,0,Wohngrundstueck,1000,25,90,Offen,37.50682449,764.8304443,57.3066864,62.26927567,41.16213608,3417.814748,1,Fall,No,3369.474181,34.76788336
149,1,346,5,0,0,0,Wohngrundstueck,50,30,0,Keiner,44.12812042,655.5252686,57.02488327,59.46157074,38.64125824,1795.61776,1,Fall,No,1766.862593,48.20821488
